"loan_amnt","term","int_rate","installment","grade","emp_length","home_ownership","annual_inc","verification_status","purpose","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc","recoveries","collections_12_mths_ex_med","acc_now_delinq","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","class"
20000," 60 months",10.15,426.42,"B","10+ years","MORTGAGE",110000,"Verified","credit_card",13.81,0,"Apr-2001",0,11,0,22702,48.9,34,0,0,0,0,312122,46400,0
13925," 36 months",13.11,469.93,"B","< 1 year","MORTGAGE",48000,"Not Verified","debt_consolidation",8.23,0,"Dec-2002",1,9,0,8703,34.5,13,0,0,0,0,180990,25200,0
10400," 36 months",8.39,327.78,"A","6 years","RENT",68000,"Not Verified","debt_consolidation",13.8,0,"Apr-1996",2,9,0,11321,65.1,33,0,0,0,0,53929,17400,0
19500," 36 months",13.98,666.28,"C","10+ years","MORTGAGE",87500,"Not Verified","home_improvement",21.75,1,"Feb-1993",0,13,0,27895,76,29,0,0,0,0,349675,36700,0
20000," 36 months",13.68,680.45,"C","10+ years","MORTGAGE",85000,"Verified","debt_consolidation",12.42,0,"May-2003",1,21,0,15115,34.1,53,0,0,0,0,55931,47300,0
18000," 36 months",10.99,589.22,"B","2 years","RENT",110000,"Not Verified","credit_card",16.78,0,"Aug-2007",0,9,0,16658,71.8,12,0,0,0,0,176632,23200,0
10000," 36 months",14.99,346.61,"C","3 years","OWN",50000,"Not Verified","debt_consolidation",12.83,0,"Dec-2006",1,9,0,12706,65.8,12,0,0,0,0,20690,19300,0
10000," 36 months",7.9,312.91,"A","3 years","RENT",36000,"Not Verified","credit_card",10.07,0,"Mar-2002",0,12,0,7907,33.4,20,0,0,0,4293,9918,23700,0
12375," 36 months",14.99,428.93,"C","4 years","RENT",31000,"Not Verified","debt_consolidation",19.67,0,"Jun-2003",0,9,0,4394,67.6,16,0,0,0,0,13246,6500,0
2500," 36 months",14.99,86.66,"C","4 years","MORTGAGE",55000,"Not Verified","debt_consolidation",9.1,1,"Dec-2000",0,13,0,25353,50.9,32,0,0,0,0,510166,49800,0
12000," 36 months",12.29,400.24,"C","10+ years","RENT",65000,"Source Verified","medical",26.17,0,"Jan-1989",1,21,1,23406,77.8,40,0,0,0,53,191480,30100,0
16000," 36 months",13.11,539.96,"B","2 years","MORTGAGE",65000,"Verified","credit_card",8.91,0,"Oct-1999",1,13,3,14139,47.9,17,0,0,0,50,114787,29500,0
17200," 36 months",6.03,523.5,"A","6 years","RENT",43270,"Verified","small_business",0.69,0,"Oct-2001",0,6,0,57,0.3,8,0,0,0,0,57,17400,0
21475," 60 months",22.95,604.78,"F","< 1 year","RENT",55000,"Verified","credit_card",31.79,0,"Dec-1995",0,15,0,12637,92.2,24,0,0,0,0,69803,13700,0
12000," 36 months",10.99,392.81,"B","10+ years","MORTGAGE",80000,"Source Verified","debt_consolidation",15.03,0,"May-2000",2,10,0,19296,58.5,24,0,0,0,0,282441,33000,0
6400," 36 months",13.53,217.28,"B","10+ years","MORTGAGE",45000,"Not Verified","debt_consolidation",6.91,0,"Sep-1991",0,11,0,6302,39.1,23,0,0,0,0,106673,16100,0
9000," 36 months",8.9,285.78,"A","10+ years","RENT",44000,"Not Verified","debt_consolidation",24.52,0,"Dec-2001",0,12,0,6720,23.9,32,0,0,0,0,22377,28075,0
24000," 36 months",7.9,750.97,"A","7 years","RENT",1e+05,"Source Verified","credit_card",14.69,0,"Sep-2000",0,9,0,21927,89.5,15,0,0,0,0,48697,24500,0
5000," 36 months",22.2,191.47,"E","4 years","RENT",41600,"Not Verified","wedding",21.82,0,"Dec-2002",2,16,0,3717,16,29,0,0,0,0,21596,23200,0
24000," 36 months",13.66,816.31,"C","10+ years","MORTGAGE",109000,"Verified","debt_consolidation",18.15,0,"Feb-2000",0,12,0,13209,47.2,35,0,0,0,0,34949,28000,0
35000," 36 months",9.17,1115.77,"B","5 years","RENT",120000,"Verified","credit_card",14.83,0,"Jun-1992",1,13,0,21716,38.1,18,0,0,0,0,356783,57000,0
13000," 60 months",9.99,276.15,"B","2 years","RENT",137000,"Not Verified","debt_consolidation",14.05,0,"Jun-1995",2,12,0,13541,36,39,0,0,0,0,87530,37600,0
8000," 36 months",7.62,249.3,"A","< 1 year","MORTGAGE",90000,"Not Verified","debt_consolidation",18.67,0,"Jan-2002",0,15,0,10205,70.9,20,0,0,0,0,264117,14400,0
3500," 36 months",7.12,108.27,"A","10+ years","MORTGAGE",98000,"Not Verified","home_improvement",17.15,0,"Nov-1997",0,10,0,26281,66.7,32,0,0,0,0,517565,39400,0
11000," 36 months",12.12,365.99,"B","10+ years","MORTGAGE",65000,"Source Verified","credit_card",26.01,0,"Oct-1998",0,13,0,11707,88.7,20,0,0,0,0,142338,13200,0
32000," 36 months",14.64,1103.66,"C","10+ years","OWN",90000,"Verified","home_improvement",9.16,0,"Mar-1994",3,13,0,3011,8.8,41,0,1,0,170,33107,34200,0
10000," 36 months",8.18,314.2,"B","10+ years","MORTGAGE",64000,"Source Verified","debt_consolidation",10.43,0,"Jun-1999",2,8,0,11217,24.9,16,0,0,0,0,229009,45100,0
35000," 60 months",19.72,921.85,"D","< 1 year","MORTGAGE",140000,"Verified","debt_consolidation",28.37,2,"Oct-1997",0,13,0,21595,87.1,31,0,0,0,0,477078,24800,0
20000," 60 months",18.49,513.22,"D","8 years","MORTGAGE",70000,"Verified","credit_card",20.29,0,"Sep-2002",2,8,0,26194,59.3,19,0,0,0,0,47643,44178,0
2000," 36 months",9.49,64.06,"B","< 1 year","RENT",70000,"Not Verified","other",18.83,0,"Sep-2005",0,10,0,2946,15.5,18,0,0,0,0,52718,19000,0
20000," 36 months",11.44,658.95,"B","8 years","MORTGAGE",84000,"Source Verified","other",11.74,0,"Sep-2000",0,20,0,23819,68.4,43,0,0,0,0,502942,34800,0
4375," 36 months",18.49,159.25,"D","3 years","RENT",55000,"Not Verified","car",2.64,0,"Jan-2004",1,8,1,1418,22.5,17,0,0,0,907,1418,6300,0
19700," 60 months",16.29,482.11,"D","n/a","OWN",50400,"Verified","debt_consolidation",33.19,0,"Dec-1993",0,9,0,16833,29.3,32,0,0,0,0,89346,57400,0
10000," 60 months",16.49,245.8,"D","3 years","RENT",33000,"Source Verified","debt_consolidation",13.93,0,"May-2009",2,3,0,3207,94.3,4,0,0,0,0,15497,3400,0
35000," 36 months",10.99,1145.69,"B","10+ years","MORTGAGE",110000,"Verified","debt_consolidation",9.14,0,"Oct-1992",3,10,0,16685,22.2,28,0,0,0,0,182354,75000,0
26000," 60 months",13.53,598.66,"B","10+ years","MORTGAGE",92000,"Verified","debt_consolidation",16.76,1,"Sep-1994",0,11,0,24788,72.1,28,0,0,0,0,531577,34400,0
31000," 60 months",16.49,761.96,"D","2 years","RENT",69000,"Verified","credit_card",23.46,0,"Jul-2006",0,12,0,18164,73.2,16,0,2,0,166,41607,24800,0
12000," 36 months",7.9,375.49,"A","7 years","MORTGAGE",1e+05,"Source Verified","credit_card",8.11,0,"Jan-1983",0,13,1,8880,28.6,24,0,0,0,162,238512,31100,0
14400," 60 months",11.14,314.1,"B","8 years","MORTGAGE",40000,"Verified","debt_consolidation",18,0,"Jan-2004",4,15,0,1128,6.2,32,0,0,0,0,49141,18100,0
9000," 36 months",11.99,298.89,"B","1 year","RENT",50000,"Source Verified","debt_consolidation",21.89,0,"Oct-1997",0,4,0,36396,95.8,17,0,0,0,0,54348,38000,0
16375," 36 months",10.16,529.61,"B","9 years","MORTGAGE",62000,"Verified","debt_consolidation",16.95,0,"Aug-1987",0,9,0,28638,77.6,35,0,0,0,0,253155,36900,0
18000," 36 months",8.39,567.3,"A","1 year","RENT",172000,"Source Verified","debt_consolidation",15.04,0,"Feb-1999",1,18,0,23979,74.5,45,0,0,0,0,135652,32200,0
20000," 36 months",10.99,654.68,"B","10+ years","MORTGAGE",103550,"Verified","credit_card",12.87,0,"Oct-1987",1,19,0,27989,47.1,35,0,0,0,0,147391,59400,0
19900," 36 months",7.69,620.76,"A","3 years","MORTGAGE",97000,"Source Verified","credit_card",17.89,0,"Dec-2002",0,11,0,21175,75.4,29,0,0,0,0,277673,28100,0
20000," 36 months",11.99,664.2,"B","n/a","MORTGAGE",56500,"Source Verified","debt_consolidation",11.95,3,"Mar-1968",3,9,0,5234,34.7,20,0,0,0,0,82020,15100,0
10000," 36 months",6.99,308.73,"A","3 years","RENT",55000,"Not Verified","credit_card",18.07,0,"Aug-2000",0,6,0,0,0,14,0,0,0,0,18088,27400,0
7200," 36 months",18.25,261.21,"D","10+ years","RENT",70000,"Source Verified","debt_consolidation",16.66,0,"Nov-1996",0,13,0,16514,86,21,0,0,0,0,37872,19200,0
5500," 36 months",13.98,187.93,"C","3 years","RENT",47000,"Source Verified","debt_consolidation",28.75,2,"Jun-1998",2,13,1,5330,42,30,0,0,0,759,40390,12700,0
35000," 36 months",17.27,1252.56,"C","10+ years","RENT",81000,"Verified","debt_consolidation",22.74,0,"Dec-2000",1,15,0,24626,90.9,22,0,0,0,0,37322,27100,0
12000," 36 months",12.39,400.82,"C","10+ years","MORTGAGE",55000,"Source Verified","debt_consolidation",16.74,0,"Jul-1990",1,23,0,27146,66.5,41,0,0,0,0,114202,40800,0
12000," 36 months",7.62,373.94,"A","10+ years","MORTGAGE",80000,"Not Verified","debt_consolidation",9.41,0,"Feb-1994",0,7,0,16416,46.9,29,0,0,0,0,229145,35000,0
7000," 36 months",14.09,239.55,"B","10+ years","OWN",33000,"Source Verified","debt_consolidation",32.36,0,"Feb-2000",2,11,0,6842,39.3,25,0,0,0,0,32236,17400,0
12000," 36 months",6.68,368.78,"A","10+ years","MORTGAGE",85000,"Source Verified","credit_card",20.06,0,"Mar-2002",1,15,0,35331,58.4,26,0,0,0,0,250853,60500,0
15450," 60 months",17.57,388.73,"D","10+ years","MORTGAGE",68600,"Source Verified","debt_consolidation",8.29,0,"Feb-1989",0,8,1,4378,22.8,31,0,0,0,0,22032,19200,0
20000," 36 months",20.49,748.28,"E","< 1 year","OWN",65000,"Verified","debt_consolidation",15.91,0,"Oct-1998",0,17,0,19390,70,26,0,0,0,0,49602,27700,0
7500," 36 months",12.12,249.54,"B","10+ years","RENT",52400,"Verified","credit_card",27.93,0,"Dec-1995",0,14,0,28099,83.1,19,0,0,0,0,32638,33800,0
16000," 36 months",12.12,532.35,"B","9 years","MORTGAGE",55000,"Not Verified","debt_consolidation",27.29,0,"Oct-2002",2,11,0,10700,55.4,34,0,0,0,0,98758,19300,0
10425," 36 months",16.55,369.35,"D","7 years","RENT",51662,"Verified","small_business",12.98,0,"May-2005",0,8,0,3403,30.9,11,0,0,0,0,11356,11000,0
5000," 36 months",11.99,166.05,"B","5 years","OWN",42000,"Source Verified","debt_consolidation",26,0,"Dec-1994",0,4,0,3051,67.8,28,0,0,0,0,44717,4500,0
20000," 36 months",12.99,673.79,"C","10+ years","RENT",130000,"Source Verified","debt_consolidation",18.02,1,"Apr-1991",1,17,0,40268,78.5,38,0,0,0,0,263397,51300,0
16000," 36 months",8.18,502.72,"B","10+ years","MORTGAGE",64000,"Source Verified","credit_card",14.38,0,"Oct-1996",0,15,1,13707,45.1,27,0,0,0,0,21843,30400,0
7000," 36 months",11.99,232.47,"B","10+ years","RENT",26500,"Verified","debt_consolidation",10.96,0,"Jun-2001",0,7,1,3674,42.7,26,0,0,0,0,7023,8600,0
15375," 36 months",13.35,520.65,"C","10+ years","MORTGAGE",70000,"Source Verified","debt_consolidation",9.36,0,"Apr-2003",1,5,0,3868,96.7,25,0,0,0,0,285719,4000,0
16550," 60 months",22.4,460.87,"E","6 years","MORTGAGE",96000,"Verified","debt_consolidation",19.91,0,"Jan-2000",0,10,0,7771,61.7,18,0,0,0,0,132935,12600,0
11400," 36 months",14.09,390.13,"B","10+ years","RENT",43576,"Source Verified","credit_card",22.86,0,"Apr-1984",0,10,1,11884,68.3,22,0,0,0,0,34306,17400,0
13025," 36 months",18.55,474.49,"D","8 years","RENT",55200,"Source Verified","other",19.07,0,"Jan-2002",0,6,0,3771,61.8,9,0,0,0,0,17403,6100,0
12000," 36 months",14.09,410.66,"B","10+ years","RENT",50000,"Not Verified","debt_consolidation",20.7,0,"Oct-1998",0,9,0,10778,50.8,29,0,0,0,0,40758,21200,0
7000," 36 months",17.56,251.53,"D","9 years","MORTGAGE",55000,"Not Verified","credit_card",25.4,0,"Apr-2006",1,12,0,5451,80.2,21,0,0,0,0,153663,6800,0
7200," 36 months",10.16,232.87,"B","2 years","MORTGAGE",48000,"Verified","debt_consolidation",14.53,0,"Dec-2002",0,7,0,9662,73.8,24,0,0,0,0,337020,13100,0
10000," 36 months",18.49,363.99,"D","< 1 year","OWN",40000,"Not Verified","other",26.79,0,"Mar-2002",0,19,0,21172,72.3,33,0,0,0,0,27594,29300,0
26400," 36 months",24.5,1042.7,"F","6 years","RENT",94000,"Verified","debt_consolidation",10.88,1,"Jun-1986",0,7,0,37186,73.5,10,0,0,0,0,37186,50600,0
20925," 60 months",18.25,534.21,"E","1 year","MORTGAGE",75443,"Verified","debt_consolidation",35.61,0,"Dec-1991",2,16,0,59293,76.5,43,0,0,0,0,315889,77500,0
4500," 36 months",9.67,144.51,"B","10+ years","RENT",52000,"Verified","credit_card",1.8,0,"Aug-2006",0,3,0,4620,25.1,6,0,0,0,0,4620,18400,0
15250," 36 months",13.11,514.65,"B","< 1 year","MORTGAGE",55000,"Verified","debt_consolidation",29.15,0,"Jun-1995",0,21,0,31774,62.4,39,0,0,0,0,231680,50900,0
14450," 60 months",18.25,368.91,"E","2 years","MORTGAGE",28975,"Not Verified","debt_consolidation",15.49,0,"Mar-1985",0,5,1,1343,15.8,9,0,0,0,0,102469,8500,0
35000," 36 months",14.09,1197.75,"B","10+ years","RENT",122000,"Verified","debt_consolidation",13.93,0,"Jul-1990",0,8,0,29401,89.9,19,0,0,0,0,41446,32700,0
7000," 36 months",12.12,232.91,"B","6 years","RENT",62000,"Not Verified","debt_consolidation",12.49,0,"Aug-2000",0,12,0,10513,60.1,20,0,0,0,0,37466,17500,0
10000," 36 months",15.31,348.18,"C","9 years","RENT",73000,"Not Verified","debt_consolidation",16.52,0,"Feb-2002",0,18,0,13231,74.3,29,0,0,0,0,28653,17800,0
30000," 36 months",8.18,942.59,"B","1 year","MORTGAGE",142000,"Verified","credit_card",24.17,2,"Sep-1984",1,13,0,47278,84,39,0,0,0,0,270241,56300,0
7000," 36 months",8.9,222.28,"A","8 years","MORTGAGE",48000,"Not Verified","debt_consolidation",15.38,0,"Feb-2002",1,8,0,3579,18.4,18,0,0,0,0,138287,19500,0
11750," 36 months",13.11,396.53,"B","10+ years","OWN",50000,"Not Verified","other",20.98,1,"Jul-1983",0,9,0,18355,91.3,17,0,0,0,0,26636,20100,0
18000," 36 months",14.3,617.83,"C","10+ years","RENT",110000,"Source Verified","debt_consolidation",17.17,0,"Jan-1990",0,6,1,4849,44.9,15,0,0,0,355,58760,10800,0
20000," 36 months",15.8,701.17,"C","8 years","MORTGAGE",60000,"Source Verified","debt_consolidation",21.18,0,"Sep-1979",2,20,0,17211,56.4,49,0,0,0,0,178069,30500,0
10000," 36 months",14.09,342.22,"B","< 1 year","RENT",43000,"Not Verified","debt_consolidation",15.82,0,"Jul-2005",0,6,0,8211,70.8,12,0,0,0,0,11780,11600,0
8000," 36 months",9.17,255.04,"B","8 years","MORTGAGE",52000,"Source Verified","debt_consolidation",20.08,0,"Feb-2004",0,12,1,16164,63.4,30,0,0,0,0,85964,25500,0
12000," 60 months",12.99,272.98,"C","10+ years","RENT",40000,"Source Verified","debt_consolidation",8.19,1,"Dec-1999",0,9,1,3966,29,23,0,0,0,56,8269,13693,0
3000," 36 months",12.12,99.82,"B","5 years","MORTGAGE",42000,"Not Verified","home_improvement",4.77,0,"May-1999",2,3,0,1141,16.1,16,0,0,0,0,21972,7100,0
3000," 36 months",7.9,93.88,"A","n/a","RENT",20000,"Not Verified","credit_card",20.28,0,"Jun-2000",0,7,0,3773,44.9,16,0,0,0,0,3773,8400,0
16000," 36 months",7.9,500.65,"A","3 years","MORTGAGE",85000,"Not Verified","debt_consolidation",12.23,0,"Dec-2000",0,7,0,7692,68.1,20,0,0,0,0,239627,11300,0
4000," 36 months",12.39,133.61,"C","4 years","RENT",190000,"Not Verified","major_purchase",13.04,0,"Aug-2002",1,18,0,1493,7.7,61,0,0,0,0,163794,19300,0
5600," 36 months",9.99,180.67,"B","8 years","RENT",60000,"Not Verified","debt_consolidation",10.22,0,"Aug-2000",0,10,1,13528,63.5,25,0,0,0,0,17437,21300,0
18000," 60 months",15.31,431.16,"C","1 year","MORTGAGE",85000,"Source Verified","debt_consolidation",4.12,0,"Dec-1984",1,11,1,9528,48.6,30,0,0,0,0,9528,19600,0
19750," 36 months",15.31,687.65,"C","10+ years","MORTGAGE",51000,"Verified","debt_consolidation",21.72,0,"Dec-1995",0,6,0,22110,95.3,22,0,0,0,0,142105,23200,0
15000," 36 months",16.59,531.74,"D","8 years","MORTGAGE",130000,"Verified","debt_consolidation",31.87,0,"Sep-1986",3,18,1,34536,86.3,58,0,0,0,0,454949,40000,0
17475," 36 months",14.33,600.06,"C","1 year","RENT",4e+05,"Source Verified","debt_consolidation",5.1,0,"Mar-2003",1,12,0,27907,59.1,16,0,0,0,0,92501,47200,0
10125," 36 months",14.64,349.21,"C","10+ years","MORTGAGE",65000,"Verified","debt_consolidation",20.79,0,"Sep-1988",0,12,1,6072,45,44,0,0,0,0,203637,13570,0
10000," 36 months",10.99,327.34,"B","10+ years","RENT",66000,"Verified","debt_consolidation",13.18,1,"Jun-1986",1,18,1,7869,19,26,0,0,0,491,17457,41500,0
8700," 36 months",11.99,288.93,"B","1 year","RENT",70000,"Not Verified","debt_consolidation",17.03,0,"May-1996",0,25,0,5785,42.2,57,0,0,0,0,79594,13700,0
16000," 36 months",15.8,560.94,"C","10+ years","MORTGAGE",60000,"Verified","debt_consolidation",21.98,0,"May-1995",0,11,0,7467,69.8,16,0,0,0,0,35838,10700,0
8400," 36 months",9.99,271.01,"B","7 years","MORTGAGE",50000,"Not Verified","debt_consolidation",16.32,0,"Aug-2001",0,10,0,8357,30.1,21,0,0,0,0,258229,27800,0
10000," 36 months",13.11,337.47,"B","2 years","RENT",63500,"Not Verified","debt_consolidation",17.06,0,"Dec-2003",0,7,0,3640,53.5,22,0,0,0,0,34506,6800,0
7200," 36 months",10.99,235.69,"B","10+ years","MORTGAGE",70000,"Source Verified","debt_consolidation",14.66,0,"Apr-2001",2,8,0,10897,30,29,0,0,0,0,170038,36300,0
6000," 36 months",6.49,183.87,"A","< 1 year","RENT",81000,"Source Verified","credit_card",5.21,0,"Aug-2001",1,28,0,6231,54.2,37,0,0,0,0,197933,11500,0
15800," 36 months",14.33,542.55,"C","4 years","RENT",61000,"Not Verified","debt_consolidation",8.61,0,"Oct-2002",0,6,0,16033,71.9,9,0,0,0,0,16033,22300,0
31300," 36 months",16.55,1108.94,"D","n/a","MORTGAGE",62640,"Verified","home_improvement",16.79,0,"Aug-1994",0,10,0,8583,13.8,32,0,0,0,0,20779,62200,0
5600," 36 months",8.39,176.5,"A","8 years","OWN",81000,"Source Verified","debt_consolidation",9.64,5,"Mar-1992",0,6,0,6805,34.2,21,0,0,0,0,215883,19900,0
12000," 36 months",11.53,395.89,"B","< 1 year","MORTGAGE",1e+05,"Not Verified","debt_consolidation",8.78,0,"May-1993",1,10,0,109301,50.7,32,0,0,0,293,463840,190800,0
22000," 60 months",19.52,577.01,"E","9 years","MORTGAGE",66800,"Source Verified","debt_consolidation",15.79,0,"Sep-2003",2,7,0,12514,84.6,23,0,0,0,0,175107,14800,0
3600," 36 months",10.16,116.44,"B","2 years","RENT",33000,"Not Verified","debt_consolidation",24.06,0,"Apr-2001",1,10,0,25206,67,19,0,0,0,57,25492,37600,0
20675," 60 months",23.5,588.8,"F","5 years","MORTGAGE",47000,"Verified","debt_consolidation",16.98,1,"Nov-1995",1,11,0,31438,42.7,23,0,0,0,0,31438,73600,0
13000," 60 months",13.66,300.21,"C","10+ years","MORTGAGE",43000,"Source Verified","debt_consolidation",26.32,0,"Oct-2004",0,8,1,7592,52.7,16,0,0,0,0,184820,14400,0
9350," 36 months",14.09,319.97,"B","3 years","RENT",46000,"Not Verified","debt_consolidation",4.41,0,"Nov-2001",3,12,0,4627,50.3,33,0,0,0,0,31907,9200,0
4500," 36 months",10.99,147.31,"B","10+ years","MORTGAGE",34888,"Verified","credit_card",9.91,0,"Mar-2007",0,7,1,8523,51.7,13,0,0,0,0,199614,16500,0
9000," 36 months",13.98,307.52,"C","8 years","MORTGAGE",63600,"Source Verified","debt_consolidation",16.92,0,"Jan-2005",1,10,0,8109,31.4,24,0,0,0,5725,299461,25800,0
4950," 36 months",18.55,180.33,"D","8 years","OWN",25000,"Not Verified","debt_consolidation",28.95,0,"Jan-2003",2,8,0,6757,43.3,8,0,0,0,0,13949,15600,0
12000," 60 months",22.2,332.8,"E","5 years","MORTGAGE",90000,"Verified","debt_consolidation",17.37,0,"Dec-1998",1,9,0,8460,70.5,23,0,0,0,0,47414,12000,0
15000," 36 months",21.49,568.91,"E","10+ years","MORTGAGE",1e+05,"Verified","wedding",3.73,1,"Oct-1998",1,9,0,13433,24.9,15,0,0,0,0,378662,54024,0
8000," 36 months",15.61,279.72,"C","7 years","RENT",35064,"Not Verified","debt_consolidation",26.25,0,"Apr-2005",0,9,0,11612,86,42,0,0,0,0,77289,13500,0
1000," 36 months",12.69,33.55,"C","8 years","MORTGAGE",90000,"Not Verified","home_improvement",15.09,0,"Apr-2002",1,12,0,5373,74.6,43,0,0,0,191,94283,7200,0
16000," 60 months",25.83,477.44,"G","7 years","MORTGAGE",75000,"Verified","other",27.09,1,"Feb-1996",3,14,0,7704,46.4,35,0,0,0,0,202158,16600,0
9000," 36 months",18.25,326.51,"D","2 years","RENT",42000,"Not Verified","other",12.69,0,"Apr-2008",0,8,0,4359,58.1,11,0,0,0,0,16237,7500,0
9600," 36 months",18.92,351.51,"D","4 years","MORTGAGE",80400,"Not Verified","debt_consolidation",18.58,0,"Dec-1999",2,18,0,11161,67.6,60,0,0,0,0,249957,16500,0
6500," 36 months",8.39,204.86,"A","1 year","MORTGAGE",67500,"Source Verified","debt_consolidation",36.76,0,"Feb-2003",1,16,0,7876,21.5,38,0,0,0,0,80214,36600,0
10000," 36 months",8.9,317.54,"A","1 year","MORTGAGE",50000,"Not Verified","car",6.96,0,"Oct-1998",0,10,1,5933,26.6,14,0,0,0,0,8458,22300,0
